description,__CLASS__,location,id,redirect_url,salary_max,category,longitude,adref,title,salary_is_predicted,created,latitude,salary_min,company,contract_type,contract_time
"Job Description The New York City Department of Youth and Community Development (DYCD) invests in a network of community-based organizations and programs to alleviate the effects of poverty and to provide opportunities for New Yorkers and communities to flourish. The Workforce Connect division manages a portfolio of programs that seek to expand opportunities for New York City's young people through employment programs that help youth ages 14 to 24 gain work experience, acquire necessary work re…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], 'display_name': 'Grand Central, Manhattan'}",4805899459,https://www.adzuna.com/details/4805899459?utm_medium=api&utm_source=962be41e,66092.03,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI0ODA1ODk5NDU5In0.OE3E_X3_zr7whCdcrcm1HZIVoDS0scnR62qurEVFudE,Data Analyst,1,2024-08-01T16:21:38Z,40.755381,66092.03,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'City of New York'}",,
"Job Description The NYC Department of Environmental Protection (DEP) enriches the environment and protects public health for all New Yorkers by providing 1.1 billion gallons of high quality drinking water, managing wastewater and stormwater, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. DEP's water supply system is comprised of 19 reservoirs and 3 controlled lakes throug…",Adzuna::API::Response::Job,"{'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], 'display_name': 'Grand Central, Manhattan', '__CLASS__': 'Adzuna::API::Response::Location'}",4566396607,https://www.adzuna.com/details/4566396607?utm_medium=api&utm_source=962be41e,111826.77,"{'tag': 'scientific-qa-jobs', 'label': 'Scientific & QA Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDU2NjM5NjYwNyIsInMiOiJxR0RRc3lfZTd4RzNYVTl4NzhocXRRIn0.FgxtBAN8ioLCKTlJAmGf24PJXgX6hPpLHldkgN-xdw0,Data Analyst,1,2024-02-12T15:04:50Z,40.755381,111826.77,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'City of New York'}",,
"Job Description The Office of Asylum Seeker Operations (OASO) is leading New York City's response to, and service provision for, the influx of asylum seekers. New York City's response is unique throughout the nation and includes complex services for asylum seekers, including but not limited to legal supports, advocacy, shelter, education, workforce training, clothing and food donations, and collaboration with faith-based and community-based organizations. OASO coordinates between agencies, make…",Adzuna::API::Response::Job,"{'display_name': 'Grand Central, Manhattan', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], '__CLASS__': 'Adzuna::API::Response::Location'}",4892780177,https://www.adzuna.com/details/4892780177?utm_medium=api&utm_source=962be41e,87420.72,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI0ODkyNzgwMTc3In0.C4bPnw4N6QtIpl8-40JycOJsEgTgZjll2hwT9MJ0gvA,DATA ANALYST,1,2024-10-07T16:30:43Z,40.755381,87420.72,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'City of New York'}",,
"Job Description The mission of the Department of Veterans' Services is to connect, mobilize, and empower New York City's Veteran Community in order to foster purpose-driven lives for New York City Service Members - past and present - in addition to their caregivers, survivors, and families. DVS fulfills this mission by providing New York City's approximately 200,000 Veterans with essential services and programs focused on pivotal areas such as economic empowerment, housing security, benefits, h…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Grand Central, Manhattan', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']}",4945818621,https://www.adzuna.com/details/4945818621?utm_medium=api&utm_source=962be41e,71890.02,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDk0NTgxODYyMSIsInMiOiJxR0RRc3lfZTd4RzNYVTl4NzhocXRRIn0.owYpYO4KKA2y6eq2lmQPdEzLiOX8enJpUD3LmS6FF9o,Data Analyst,1,2024-11-20T15:45:32Z,40.755381,71890.02,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'City of New York'}",,
"? Responsibilities: - Collect, process, and analyze large data sets using SQL and a variety of software tools and techniques. - Create reports, dashboards, and visualizations to communicate data insights to clients. - Work with clients to understand their business needs and develop data-driven solutions to meet those needs. Qualifications: - Bachelor's degree in computer science, statistics, mathematics, or a related field. - Familiarity with one or more programming languages (e.g., Python, R, …",Adzuna::API::Response::Job,"{'display_name': 'Grand Central, Manhattan', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], '__CLASS__': 'Adzuna::API::Response::Location'}",4530251868,https://www.adzuna.com/details/4530251868?utm_medium=api&utm_source=962be41e,57756.34,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI0NTMwMjUxODY4In0.XXRMeejMUmqNesXGgPlgncGYv8nV3CnhXztmJm6HlaM,Data Analyst,1,2024-01-17T14:50:13Z,40.755381,57756.34,"{'display_name': 'STELLAR SERVICES', '__CLASS__': 'Adzuna::API::Response::Company'}",,
"Job summary - Required skills: SQL, DBT, Dashboarding with Looker. - Familiarity with Python, R, Amplitude, A/B testing, and Github - Pulling data from dashboards and our database using SQL, creating weekly reports for the exec team - Opportunity sizing for roadmapping and prioritization of projects, communicating with stakeholders - Identifying and fixing any reporting issues (e.g., able to diagnose where in the pipeline an issue occurred About US Tech Solutions: US Tech Solutions is a global …",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Grand Central, Manhattan', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']}",5001426342,https://www.adzuna.com/details/5001426342?utm_medium=api&utm_source=962be41e,64467.81,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTAwMTQyNjM0MiIsInMiOiJxR0RRc3lfZTd4RzNYVTl4NzhocXRRIn0.sxwvdAX8hyXuY8UEdKwZUFbdGOxsgfRqXL_noB9J9_4,Data Analyst,1,2025-01-07T18:44:56Z,40.755381,64467.81,"{'display_name': 'US Tech Solutions', '__CLASS__': 'Adzuna::API::Response::Company'}",,
"Job Description Job Description JOB TITLE: Data Analyst REPORTS TO: Senior Manager of Data Strategy DEPARTMENT: IT HOURS: 40 Hours JOB TYPE: Temp (6 months), Hybrid RATE: $35 to $50 per hour SPONSORSHIP : We are not sponsoring for this position We are seeking an experienced Healthcare Data Analyst for a temporary, project-based role. This opportunity is ideal for a seasoned professional who can hit the ground running with minimal onboarding . The role involves working with clinical and healthca…",Adzuna::API::Response::Job,"{'area': ['US', 'New York', 'New York City'], 'display_name': 'New York City, New York', '__CLASS__': 'Adzuna::API::Response::Location'}",5024418914,https://www.adzuna.com/land/ad/5024418914?se=qGDQsy_e7xG3XU9x78hqtQ&utm_medium=api&utm_source=962be41e&v=C6DA921D76074ED3D3A2626835257B37E821BA59,86498.45,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'it-jobs', 'label': 'IT Jobs'}",,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI1MDI0NDE4OTE0In0.FNJgW8-ik7-Bcbxdg4MvkxQ35E0YK-FnZQVfSv7at7c,Healthcare Data Analyst -TEMP,1,2025-01-25T23:40:08Z,,86498.45,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Healthix, Inc.'}",,
"Job Description Hours: Full-time - 35 Hours Work Location: 30-30 Thomson Avenue, LIC, NY 11101 The OMB Data Analyst plays a crucial role in supporting DDC with the Office of Management and Budget's monthly submission by tracking and analyzing data, preparing reports, and ensuring the accuracy and completeness of submission items in the NYCAPS system. This position involves organizing data, responding to inquiries from the OMB, and assisting with various data requests from senior staff. The OMB …",Adzuna::API::Response::Job,"{'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], 'display_name': 'Grand Central, Manhattan', '__CLASS__': 'Adzuna::API::Response::Location'}",4840276823,https://www.adzuna.com/details/4840276823?utm_medium=api&utm_source=962be41e,49672.16,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Admin Jobs', 'tag': 'admin-jobs'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDg0MDI3NjgyMyIsInMiOiJxR0RRc3lfZTd4RzNYVTl4NzhocXRRIn0.1kFHZ85IEE94CYGP930tkGhX3G3ItIEuIISMf4cBxX0,OMB Data Analyst,1,2024-08-26T16:13:10Z,40.755381,49672.16,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'City of New York'}",,
"Job Description: · As a Marketing Data Analyst, you will work providing insights, measurement expertise and strategic recommendations to some of the most digitally savvy global brands in the world in the FBR, HPC and Beauty verticals. · This is a data-oriented yet creative position that requires a sharp, analytical mind and an entrepreneurial spirit. Your knowledge of our internal and third party tools, as well as deep measurement expertise, combined with your curiosity to play with data combin…",Adzuna::API::Response::Job,"{'__CLASS__': 'Adzuna::API::Response::Location', 'display_name': 'Grand Central, Manhattan', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']}",4687974701,https://www.adzuna.com/details/4687974701?utm_medium=api&utm_source=962be41e,78489.9,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNDY4Nzk3NDcwMSIsInMiOiJxR0RRc3lfZTd4RzNYVTl4NzhocXRRIn0.Nh5d1xzdcrOtVwikgjcF-GKkbKUoJbl4AIuas8FjwVo,Marketing Data Analyst,1,2024-05-10T15:34:40Z,40.755381,78489.9,"{'display_name': 'US Tech Solutions', '__CLASS__': 'Adzuna::API::Response::Company'}",,
"Staffing Solutions Organization LLC (SSO), an affiliate of Public Consulting Group LLC (PCG), is focused on delighting clients with world-class managed staffing and talent consulting services. SSO is committed to a diverse workforce, which is a reflection of our clients and the people they serve. Managing Healthcare Data Analyst - NYC DOS 1265 Summary This candidate would serve as a managing health care data analyst for NY State of Health. The NY State of Health (NYSOH) marketplace provides aff…",Adzuna::API::Response::Job,"{'display_name': 'Grand Central, Manhattan', 'area': ['US', 'New York', 'New York City', 'Manhattan', 'Grand Central'], '__CLASS__': 'Adzuna::API::Response::Location'}",4915290339,https://www.adzuna.com/details/4915290339?utm_medium=api&utm_source=962be41e,97359.17,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",-73.978504,eyJhbGciOiJIUzI1NiJ9.eyJzIjoicUdEUXN5X2U3eEczWFU5eDc4aHF0USIsImkiOiI0OTE1MjkwMzM5In0.7Wwmn6kK3yPpAWClqEY8UNtMIEnp3ut_V4GU4PQDtso,Managing Healthcare Data Analyst,1,2024-10-26T16:34:15Z,40.755381,97359.17,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Staffing Solutions Organization'}",,
